team,year,div,conf,w_l_percent,mov,ortg,drtg,nrtg,mov_a,ortg_a,drtg_a,nrtg_a
Houston Rockets,2006,M,W,0.415,-1.59,102.41,104.42,-2.02,-1.31,102.5,104.2,-1.7
Indiana Pacers,2006,C,E,0.5,1.89,105.3,103.0,2.3,1.62,104.91,102.9,2.01
Los Angeles Clippers,2006,P,W,0.573,1.57,106.09,104.24,1.85,1.75,106.11,104.08,2.03
Los Angeles Lakers,2006,P,W,0.5489999999999999,2.5,109.26,106.59,2.67,2.53,109.46,106.77,2.69
Memphis Grizzlies,2006,M,W,0.598,3.7,107.11,102.69,4.42,3.74,107.1,102.66,4.44
Miami Heat,2006,A,E,0.634,3.87,109.53,105.34,4.19,3.59,109.28,105.38,3.9
Milwaukee Bucks,2006,C,E,0.488,-1.04,106.81,107.98,-1.17,-1.07,106.8,108.0,-1.2
Minnesota Timberwolves,2006,M,W,0.402,-1.88,103.52,105.65,-2.13,-1.75,103.59,105.58,-1.99
New Orleans Pelicans,2006,SW,W,0.463,-2.82,104.5,107.77,-3.27,-2.51,104.62,107.56,-2.94
New York Knicks,2006,A,E,0.28,-6.4,104.74,111.87,-7.14,-6.3,104.74,111.74,-7.0
Oklahoma City Thunder,2006,NW,W,0.4270000000000001,-3.02,111.99,115.45,-3.45,-2.88,112.49,115.79,-3.31
Orlando Magic,2006,A,E,0.439,-1.07,106.99,108.25,-1.26,-1.26,106.84,108.29,-1.45
Philadelphia 76ers,2006,A,E,0.463,-1.95,106.89,109.0,-2.1,-2.11,106.79,109.06,-2.27
Phoenix Suns,2006,P,W,0.659,5.55,112.27,106.45,5.82,5.48,112.32,106.58,5.74
Portland Trail Blazers,2006,P,W,0.256,-9.45,102.06,112.87,-10.81,-8.91,102.35,112.56,-10.21
Sacramento Kings,2006,P,W,0.537,1.54,107.45,105.8,1.65,1.61,107.51,105.8,1.72
San Antonio Spurs,2006,M,W,0.768,6.82,108.02,100.32,7.7,6.69,107.93,100.38,7.54
Toronto Raptors,2006,C,E,0.329,-2.99,110.22,113.34,-3.12,-3.03,110.4,113.57,-3.17
Utah Jazz,2006,M,W,0.5,-2.63,104.93,107.9,-2.96,-2.49,104.98,107.79,-2.81
Washington Wizards,2006,A,E,0.512,1.85,110.01,107.93,2.08,1.56,109.91,108.14,1.76
Atlanta Hawks,2007,C,E,0.366,-4.76,103.83,109.24,-5.41,-4.86,103.98,109.5,-5.52
Boston Celtics,2007,A,E,0.293,-3.41,104.07,107.96,-3.89,-3.71,103.98,108.18,-4.19
Brooklyn Nets,2007,A,E,0.5,-0.77,106.45,107.43,-0.97,-1.0,106.49,107.7,-1.22
Charlotte Hornets,2007,C,E,0.402,-3.74,104.29,108.34,-4.04,-3.97,104.23,108.52,-4.3
Chicago Bulls,2007,C,E,0.598,5.01,105.71,100.32,5.39,4.52,105.36,100.5,4.86
Cleveland Cavaliers,2007,C,E,0.61,3.83,106.15,102.1,4.05,3.33,105.92,102.41,3.52
